VentaID,FechaVenta,HoraVenta,SucursalNombre,CiudadSucursal,VendedorNombre,Cliente_Nombre,GeneroCliente,edadcliente,EmailCliente,TelefonoCliente,Direccion_Cliente,MetodoPago,NombreProducto1,MarcaProducto1,CantidadProducto1,PrecioUnitarioProducto1,SubtotalProducto1,NombreProducto2,MarcaProducto2,CantidadProducto2,PrecioUnitarioProducto2,SubtotalProducto2,NombreProducto3,MarcaProducto3,CantidadProducto3,PrecioUnitarioProducto3,SubtotalProducto3,DescuentoVenta,TotalVenta
1,2015-12-31,05:42:43,TechCore pereira,Pereíra,Amílcar Ortega-Alberto,Bienvenida Nebot-Fiol,F,37,bienvenida19@hotmail.com,+34806548767,cll 52 #32-98,Tarjeta Crédito,Apple MacBook Pro 16,Aple,1,9600000,9600000,MSI GS66 Stealth,MSI,2.0,8000000.0,16000000.0,Dell Latitude 7420,Del,1.0,5600000.0,5600000.0,0.0,31200000.0
2,2019-03-23,19:03:21,TechCore medellín #1,Medellin,Ana Sofía Llopis Blázquez,Teófila Bueno-Novoa,F,43,teófila35@gmail.com,+34 947255990,cll 96 #81-94,Billetera Digital,Acer Nitro 5,Acr,1,4000000,4000000,Lenovo ThinkPad X1 Carbon,Lenovo,1.0,6800000.0,6800000.0,,,,,,0.0,10800000.0
3,2018-12-23,02:32:34,Techcore medellín #2,medellín,Juan José Porcel-Riera,Gilberto Chamorro Catalá,M,38,gilberto57@hotmail.com,+34 978 810 249,cra 28 #79-85,Tarjeta Débito,Dell Latitude 7420,Dell,2,5600000,11200000,Lenovo Legion 5 Pro,Lenvo,1.0,7200000.0,7200000.0,HP Pavilion 15,HP,1.0,3500000.0,3500000.0,,21900000.0
4,2015-11-14,00:37:36,TechCore Medellín #2,Medellín,Juan José Porcel-Riera,Máximo Coronado Huerta,M,30,máximo65@hotmail.com,+34 825429634,cll 5 #89-26,Billetera Digital,Asus TUF Gaming A15,Azus,1,4800000,4800000,Lenovo Yoga 7i,Lenovo,2.0,4400000.0,8800000.0,,,,,,0.0,13600000.0
5,2016-11-29,10:34:20,TechCore Cali,cali,Jacinta Juárez Marín,Yago Oliver,M,51,yago38@yahoo.com,+34988285275,cra 32 #97-86,Tarjeta Crédito,HP Spectre x360,HP,1,5200000,5200000,HP Pavilion 15,HP,1.0,3500000.0,3500000.0,Microsoft Surface Laptop 4,Microsofft,1.0,5200000.0,5200000.0,0.0,13900000.0
6,2015-01-08,22:33:55,TechCore cali,Cali,Clímaco Salinas Zabaleta,Conrado Patiño Tejero,M,22,conrado82@hotmail.com,+34 942980111,cra 4 #25-1,Billetera Digital,Samsung Galaxy Book Odyssey,Samsng,1,6800000,6800000,Asus VivoBook 15,Azus,2.0,2400000.0,4800000.0,HP Omen 16,HP,1.0,6000000.0,6000000.0,,17600000.0
7,2022-10-02,11:56:06,TechCore cali,cali,Jacinta Juárez Marín,Isabela de Jover,F,36,isabela71@gmail.com,+34 726 21 48 92,cra 72 #48-24,Billetera Digital,Lenovo IdeaPad 5,Lenovo,2,2800000,5600000,Dell XPS 13,Del,2.0,4800000.0,9600000.0,,,,,,0.15,12920000.0
8,2022-06-04,07:00:48,TechCore pereíra,pereira,Carina Parejo Carranza,Cristian Diez Gual,M,43,cristian12@yahoo.com,+34 979 665 063,cra 95 #52-59,Tarjeta Crédito,Asus TUF Gaming A15,Asus,2,4800000,9600000,Lenovo Yoga 7i,Lenovo,1.0,4400000.0,4400000.0,Dell Latitude 7420,Del,2.0,5600000.0,11200000.0,0.05,23940000.0
9,2019-01-14,12:27:53,Techcore bogotá #2,Bogota,Edu Juan Pedraza,Gertrudis Espinosa-Jódar,F,35,gertrudis61@gmail.com,+34807 279 120,cra 48 #3-92,Tarjeta Crédito,Dell XPS 13,Del,1,4800000,4800000,,,,,,,,,,,0.0,4800000.0
10,2023-07-19,14:25:30,TechCore bogota#2,Bogota,Armida Azorin Plaza,Sergio Paulino Cánovas Redondo,M,24,sergio78@hotmail.com,+34926 93 03 22,cra 41 #99-47,Transferencia,Lenovo Legion 5 Pro,Lenvo,2,7200000,14400000,Lenovo ThinkPad X1 Carbon,Lenvo,2.0,6800000.0,13600000.0,,,,,,,28000000.0
11,2016-03-07,06:38:40,TechCore Cali,cali,Rosendo Barberá Cordero,Fanny Riquelme Donoso,F,48,fanny39@hotmail.com,+34820005586,cra 17 #85-95,Tarjeta Débito,HP Pavilion 15,HP,2,3500000,7000000,Dell Alienware m15,Dell,2.0,8000000.0,16000000.0,,,,,,0.0,23000000.0
12,2019-11-29,15:53:27,TechCore Bogotá #2,Bogota,Herminia Meléndez-Huguet,Delfina Benitez Huguet,F,35,delfina48@hotmail.com,+34 881 96 96 96,cll 74 #6-82,Billetera Digital,HP Spectre x360,HP,2,5200000,10400000,,,,,,,,,,,0.0,10400000.0
