VentaID;FechaVenta;HoraVenta;NombreSucursal;CiudadSucursal;NombreVendedor;NombreCliente;GeneroCliente;EdadCliente;EmailCliente;TelefonoCliente;DireccionCliente;MetodoPago;NombreProducto1;MarcaProducto1;CantidadProducto1;PrecioUnitarioProducto1;SubtotalProducto1;NombreProducto2;MarcaProducto2;CantidadProducto2;PrecioUnitarioProducto2;SubtotalProducto2;NombreProducto3;MarcaProducto3;CantidadProducto3;PrecioUnitarioProducto3;SubtotalProducto3;DescuentoVenta;TotalVenta;AñoVenta;MesVenta;DiaVenta
113;15/12/2017;10:02:23;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Alicia Del Gras;F;33;alicia52@yahoo.com;+34 922188967;Cll 39 #21-73;Tarjeta Crédito;Hp Spectre X360;HP;2;5200000;10400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;10400000;2017;12;15
243;5/3/2024;11:04:28;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Paco Becerra Calderon;M;20;paco79@yahoo.com;+34976 312 798;Cra 10 #69-9;Tarjeta Crédito;Lenovo Yoga 7I;Lenovo;1;4400000;4400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;4400000;2024;3;5
581;17/9/2023;06:57:54;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Pascual Erasmo Pastor Izquierdo;M;29;pascual28@gmail.com;+34 900 74 14 77;Cra 88 #54-1;Tarjeta Crédito;Samsung Galaxy Book Odyssey;Samsung;1;6800000;6800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;6800000;2023;9;17
594;9/12/2014;00:07:40;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Francisco Vega-Alcalá;M;48;francisco50@yahoo.com;+34803 330 496;Cll 3 #38-4;Tarjeta Crédito;Samsung Galaxy Chromebook 2;Samsung;2;2000000;4000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;4000000;2014;12;9
599;4/5/2023;01:00:16;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Elvira Rocamora Díaz;F;39;elvira59@hotmail.com;+34 878243990;Cll 34 #87-45;Tarjeta Crédito;Hp Omen 16;HP;1;6000000;6000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;6000000;2023;5;4
1110;14/8/2024;09:31:18;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Tiburcio Millán-Uriarte;M;41;tiburcio28@gmail.com;+34 979 528 305;Cra 3 #26-3;Tarjeta Crédito;Hp Spectre X360;HP;2;5200000;10400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;10400000;2024;8;14
1112;29/9/2017;05:51:10;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Marisela Guerrero-Flores;F;43;marisela23@yahoo.com;+34710 730 245;Cra 63 #66-70;Tarjeta Crédito;Lenovo Ideapad 5;Lenovo;1;2800000;2800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;2800000;2017;9;29
1220;18/3/2023;06:13:30;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Sandalio Sastre Vargas;M;48;sandalio37@hotmail.com;+34 849 251 672;Cll 28 #19-78;Tarjeta Crédito;Lenovo Yoga 7I;Lenovo;1;4400000;4400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;4400000;2023;3;18
1335;4/4/2020;07:24:22;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Ricardo Solera Vila;M;33;ricardo91@gmail.com;+34 974 28 67 00;Cll 60 #31-89;Tarjeta Crédito;Acer Aspire 5;Acer;2;2000000;4000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;4000000;2020;4;4
1358;20/10/2024;00:31:40;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Isa Cárdenas-Sevilla;F;36;isa9@yahoo.com;+34 824 12 04 08;Cll 99 #11-27;Tarjeta Crédito;Lenovo Legion 5 Pro;Lenovo;1;7200000;7200000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;7200000;2024;10;20
1502;11/12/2022;19:40:49;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Herberto Viña;M;26;herberto93@yahoo.com;34873531173;Cll 42 #92-88;Tarjeta Crédito;Apple Macbook Air M1;Apple;2;5500000;11000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;11000000;2022;12;11
1632;17/8/2019;07:15:03;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Julio Yuste Pinto;M;24;julio13@gmail.com;34842913273;Cll 49 #12-42;Tarjeta Crédito;Hp Envy 13;HP;2;4000000;8000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;8000000;2019;8;17
1672;5/12/2022;02:03:59;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Buenaventura Páez-Núñez;M;21;buenaventura71@yahoo.com;+34 875 14 11 23;Cll 16 #62-82;Tarjeta Crédito;Dell Latitude 7420;Dell;2;5600000;11200000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;11200000;2022;12;5
1707;22/3/2016;01:47:03;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Isabela Virginia Valencia España;F;40;No especificado;34846362764;Cll 60 #11-83;Tarjeta Crédito;Acer Swift 3;Acer;1;2600000;2600000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;2600000;2016;3;22
1782;19/8/2018;07:38:24;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Gaspar Manuel Guerrero;M;46;gaspar32@hotmail.com;+34946 62 67 19;Cra 67 #9-70;Tarjeta Crédito;Acer Swift 3;Acer;1;2600000;2600000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;2600000;2018;8;19
2062;5/8/2023;16:26:41;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Diego Castells Crespi;M;47;diego30@gmail.com;+34 924 40 69 18;Cra 78 #85-3;Tarjeta Crédito;Acer Aspire 5;Acer;1;2000000;2000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;2000000;2023;8;5
2188;12/5/2020;21:17:28;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Macaria Falcón Jara;F;33;macaria9@gmail.com;+34 966 48 64 29;Cra 6 #43-97;Tarjeta Crédito;Hp Spectre X360;HP;1;5200000;5200000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;5200000;2020;5;12
2240;12/9/2018;15:00:12;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Liliana Coello;F;29;liliana27@gmail.com;34873663876;Cll 39 #40-11;Tarjeta Crédito;Asus Rog Strix G15;Asus;1;6400000;6400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;6400000;2018;9;12
2699;14/4/2017;02:04:27;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Viviana Tudela Folch;F;39;viviana37@gmail.com;+34 921 50 73 63;Cra 28 #5-24;Tarjeta Crédito;Dell Inspiron 15;Dell;2;3000000;6000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;6000000;2017;4;14
3367;7/5/2025;05:23:52;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Íñigo Torres;M;30;íñigo55@yahoo.com;+34 941809004;Cra 35 #5-53;Tarjeta Crédito;Samsung Galaxy Book Pro;Samsung;1;4800000;4800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;4800000;2025;5;7
3521;5/11/2023;04:10:19;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Fabio Mármol;M;21;fabio9@hotmail.com;+34806 86 59 61;Cra 56 #29-44;Tarjeta Crédito;Lenovo Yoga 7I;Lenovo;1;4400000;4400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;4400000;2023;11;5
3694;15/1/2016;12:30:06;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Fortunata Torrijos;F;31;fortunata80@yahoo.com;34985319741;Cra 76 #43-70;Tarjeta Crédito;Lenovo Thinkpad X1 Carbon;Lenovo;2;6800000;13600000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;13600000;2016;1;15
4137;8/1/2025;03:14:03;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Merche Del Otero;F;37;merche52@hotmail.com;34884794802;Cra 47 #91-95;Tarjeta Crédito;Apple Macbook Pro 16;Apple;1;9600000;9600000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;9600000;2025;1;8
4586;30/12/2021;01:34:02;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Cristóbal Azorin Bayón;M;45;cristóbal68@yahoo.com;+34886 37 38 84;Cra 88 #48-77;Tarjeta Crédito;Dell Inspiron 15;Dell;2;3000000;6000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;6000000;2021;12;30
4875;5/9/2024;07:44:06;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Gerardo De Dueñas;M;45;gerardo15@yahoo.com;+34 880899824;Cra 52 #23-45;Tarjeta Crédito;Hp Spectre X360;HP;1;5200000;5200000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;5200000;2024;9;5
5123;5/6/2019;09:09:58;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Osvaldo Sierra Roman;M;46;osvaldo81@gmail.com;+34 831 425 148;Cll 71 #73-17;Tarjeta Crédito;Acer Aspire 5;Acer;2;2000000;4000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;4000000;2019;6;5
5207;3/7/2015;14:16:03;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Evelia Montaña Blanca;F;42;evelia53@gmail.com;34928937467;Cra 6 #49-34;Tarjeta Crédito;Dell Latitude 7420;Dell;1;5600000;5600000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;5600000;2015;7;3
5252;22/6/2019;14:33:19;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Antonia De Escamilla;F;22;antonia73@hotmail.com;+34981 57 96 74;Cra 66 #76-66;Tarjeta Crédito;Razer Blade Stealth 13;Razer;2;7200000;14400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;14400000;2019;6;22
